bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl
7.7754,12,10.7546,0.6497,66.9139,22.9776,3.7111,0.1228,1,0.0325,1.2794,37.3832,ACE,2017-03-28,0,0.1943
10.2719,0,4.2119,0.7747,67.6196,10.5736,3.7783,0.0963,1,0.0211,2.6577,34.0263,ACE,2018-04-23,0,-9.9872
11.3065,0,8.7758,0.722,67.4471,21.4494,4.4827,0.0663,1,0.0241,0.8394,42.4851,ACE,2020-01-02,0,-7.0564
7.2059,9,6.3017,0.5375,65.5892,9.0549,4.76,0.2102,1,0.0156,1.7364,50.0152,ACE,2021-07-23,0,-9.8105
8.9478,19,4.2377,0.9067,67.0382,11.6695,3.3353,0.091,1,0.02,0.9587,9.7171,ACE,2022-03-31,0,-10.9272
12.0344,0,6.5746,0.9283,68.0876,12.1234,4.1789,0.1409,1,0.0331,1.38,52.953,ACE,2022-11-04,0,-8.7145
10.902,0,5.6696,0.8779,68.3377,9.0387,4.3375,0.1292,0,-0.0239,1.6169,34.0812,ACE,2023-02-07,0,20.7479
6.3688,5,2.0926,0.9115,66.4214,8.5614,2.9891,0.1309,1,0.0326,1.4569,37.837,ACE,2023-05-03,1,66.5309
6.3788,5,3.7232,0.798,66.4613,8.1762,2.9578,0.119,1,0.0394,1.4414,49.5327,ACE,2023-05-31,1,67.5868
10.0004,0,4.489,0.959,69.0472,9.0069,4.2977,0.122,1,0.0606,1.6847,18.0786,ACE,2024-01-03,1,26.7066
