bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl,source_batch
6.471,14,3.9684,0.7385,60.6505,9.1482,2.731,0.0294,1,0.0167,0.8172,7.3295,OLECTRA,2025-07-10,0,23.1663,Batch 3
9.6586,23,3.0976,0.8207,69.8471,8.3842,2.7882,0.0832,1,0.0064,0.8635,22.298,OLECTRA,2025-07-23,0,14.0667,Batch 3
7.8417,17,3.0463,0.7415,64.8593,8.4804,3.1482,0.0947,1,0.0038,0.9665,15.1073,PNGJL,2025-07-17,0,-11.1523,Batch 3
7.8361,22,4.2389,0.8857,69.5934,11.4398,2.8334,0.0827,1,0.0139,1.1188,22.2468,PNGJL,2025-09-16,0,-2.3468,Batch 3
4.7783,49,5.7816,0.895,61.8768,15.0084,2.3717,0.0194,1,0.0065,1.0348,12.928,PNGJL,2026-01-07,0,-8.6547,Batch 3
9.9465,9,2.6494,0.8768,60.9158,14.1837,3.1462,0.0043,1,0.0258,1.0,-8.1148,PRIVISCL,2025-03-27,0,-8.7649,Batch 3
9.0987,12,2.2882,0.8625,58.8831,10.528,2.7038,0.0305,0,-0.0089,1.4573,6.1174,PRIVISCL,2025-09-29,0,20.6643,Batch 3
6.7489,14,2.3779,0.8453,61.5199,11.5644,3.3255,0.0741,1,0.0122,1.3512,29.7471,PRIVISCL,2025-12-22,0,-10.7692,Batch 3
5.3557,26,3.3392,0.9184,67.2838,14.6301,2.9599,0.0807,0,-0.0025,1.2891,-1.0829,PRIVISCL,2026-04-17,0,2.3873,Batch 3
12.116,3,3.0529,0.9056,67.1709,9.4168,5.0834,0.1787,1,0.0554,0.8522,-11.4622,RAILTEL,2025-05-14,0,10.6617,Batch 3
12.795,14,6.58,0.6887,68.9904,9.501,3.3525,0.0711,1,0.0069,1.2449,33.3165,RAILTEL,2025-09-15,0,-9.2075,Batch 3
8.3057,7,7.593,0.5431,61.5644,9.1273,3.8333,0.0252,1,0.0117,0.8203,4.0268,RAILTEL,2025-12-23,0,-8.1887,Batch 3
12.4053,8,7.7265,0.6549,68.7029,8.556,4.1922,0.0814,1,0.0051,0.8801,9.3014,RAILTEL,2025-12-26,0,-13.4879,Batch 3
4.8078,8,7.5924,0.1384,58.1906,9.1313,3.6456,0.0161,1,0.0298,1.0,-21.4898,SEAMECLTD,2025-03-25,0,-6.0409,Batch 3
5.9728,15,14.1052,0.1713,56.7252,8.8953,5.3622,0.0652,0,-0.0025,1.0,42.7683,SEAMECLTD,2026-05-19,0,-5.1669,Batch 3
